Index,Latitude,Longitude
0,28.6102,91.4056
1,28.6102,94.17903333
2,28.6102,96.95246667
3,28.6102,99.7259
4,28.6102,102.4993333
5,28.6102,105.2727667
6,28.6102,108.0462
7,28.6102,110.8196333
8,28.6102,113.5930667
9,28.6102,116.3665
10,29.96187778,91.4056
11,29.96187778,94.17903333
12,29.96187778,96.95246667
13,29.96187778,99.7259
14,29.96187778,102.4993333
15,29.96187778,105.2727667
16,29.96187778,108.0462
17,29.96187778,110.8196333
18,29.96187778,113.5930667
19,29.96187778,116.3665
20,31.31355556,91.4056
21,31.31355556,94.17903333
22,31.31355556,96.95246667
23,31.31355556,99.7259
24,31.31355556,102.4993333
25,31.31355556,105.2727667
26,31.31355556,108.0462
27,31.31355556,110.8196333
28,31.31355556,113.5930667
29,31.31355556,116.3665
30,32.66523333,91.4056
31,32.66523333,94.17903333
32,32.66523333,96.95246667
33,32.66523333,99.7259
34,32.66523333,102.4993333
35,32.66523333,105.2727667
36,32.66523333,108.0462
37,32.66523333,110.8196333
38,32.66523333,113.5930667
39,32.66523333,116.3665
40,34.01691111,91.4056
41,34.01691111,94.17903333
42,34.01691111,96.95246667
43,34.01691111,99.7259
44,34.01691111,102.4993333
45,34.01691111,105.2727667
46,34.01691111,108.0462
47,34.01691111,110.8196333
48,34.01691111,113.5930667
49,34.01691111,116.3665
50,35.36858889,91.4056
51,35.36858889,94.17903333
52,35.36858889,96.95246667
53,35.36858889,99.7259
54,35.36858889,102.4993333
55,35.36858889,105.2727667
56,35.36858889,108.0462
57,35.36858889,110.8196333
58,35.36858889,113.5930667
59,35.36858889,116.3665
60,36.72026667,91.4056
61,36.72026667,94.17903333
62,36.72026667,96.95246667
63,36.72026667,99.7259
64,36.72026667,102.4993333
65,36.72026667,105.2727667
66,36.72026667,108.0462
67,36.72026667,110.8196333
68,36.72026667,113.5930667
69,36.72026667,116.3665
70,38.07194444,91.4056
71,38.07194444,94.17903333
72,38.07194444,96.95246667
73,38.07194444,99.7259
74,38.07194444,102.4993333
75,38.07194444,105.2727667
76,38.07194444,108.0462
77,38.07194444,110.8196333
78,38.07194444,113.5930667
79,38.07194444,116.3665
80,39.42362222,91.4056
81,39.42362222,94.17903333
82,39.42362222,96.95246667
83,39.42362222,99.7259
84,39.42362222,102.4993333
85,39.42362222,105.2727667
86,39.42362222,108.0462
87,39.42362222,110.8196333
88,39.42362222,113.5930667
89,39.42362222,116.3665
90,40.7753,91.4056
91,40.7753,94.17903333
92,40.7753,96.95246667
93,40.7753,99.7259
94,40.7753,102.4993333
95,40.7753,105.2727667
96,40.7753,108.0462
97,40.7753,110.8196333
98,40.7753,113.5930667
99,40.7753,116.3665
